85	CHEMBL1620698
119	CHEMBL96
137	CHEMBL601
175	CHEMBL1354
187	CHEMBL667
191	CHEMBL11909
222	CHEMBL1160819
244	CHEMBL720
247	CHEMBL1182
297	CHEMBL17564
298	CHEMBL414400
311	CHEMBL1261
312	CHEMBL19429
338	CHEMBL424
401	CHEMBL8151
444	CHEMBL894
450	CHEMBL412
453	CHEMBL16105
564	CHEMBL1046
581	CHEMBL145615
596	CHEMBL78
598	CHEMBL1098319
612	CHEMBL1200559
679	CHEMBL504
681	CHEMBL59
698	CHEMBL756
700	CHEMBL104943
727	CHEMBL15891
753	CHEMBL692
767	CHEMBL1161632
774	CHEMBL90
785	CHEMBL537
815	CHEMBL266589
838	CHEMBL1740
853	CHEMBL42115
861	CHEMBL789
896	CHEMBL45
942	CHEMBL440464
946	CHEMBL1361
951	CHEMBL432
1046	CHEMBL614
1054	CHEMBL1364
1065	CHEMBL15088
1130	CHEMBL1547
1134	CHEMBL6497
1301	CHEMBL1903819
1546	CHEMBL17639
1727	CHEMBL284348
1775	CHEMBL16
1805	CHEMBL301216
1972	CHEMBL1700818
1978	CHEMBL642
1983	CHEMBL112
1986	CHEMBL20
1990	CHEMBL734
1993	CHEMBL978
2019	CHEMBL427947
2021	CHEMBL2009700
2082	CHEMBL1483
2083	CHEMBL714
2088	CHEMBL870
2092	CHEMBL709
2099	CHEMBL1110
2118	CHEMBL661
2123	CHEMBL1455
2130	CHEMBL660
2140	CHEMBL1201220
2141	CHEMBL1006
2145	CHEMBL488
2153	CHEMBL190
2159	CHEMBL243712
2160	CHEMBL629
2161	CHEMBL1096
2162	CHEMBL1491
2170	CHEMBL1113
2177	CHEMBL195725
2179	CHEMBL43
2187	CHEMBL1399
2215	CHEMBL70099
2216	CHEMBL647
2244	CHEMBL25
2249	CHEMBL24
2265	CHEMBL1542
2266	CHEMBL1238
2267	CHEMBL639
2284	CHEMBL701
2307	CHEMBL1319520
2311	CHEMBL1604571
2315	CHEMBL1684
2337	CHEMBL278172
2341	CHEMBL1201358
2344	CHEMBL116590
2345	CHEMBL1239
2349	CHEMBL300052
2351	CHEMBL1008
2366	CHEMBL24441
2367	CHEMBL2008531
2369	CHEMBL423
2370	CHEMBL1482
2375	CHEMBL409
2391	CHEMBL942
2405	CHEMBL645
2431	CHEMBL1199080
2435	CHEMBL844
2441	CHEMBL277062
2442	CHEMBL253376
2462	CHEMBL3188153
2471	CHEMBL1072
2474	CHEMBL1098
2476	CHEMBL3580442
2477	CHEMBL49
2478	CHEMBL820
2479	CHEMBL449
2484	CHEMBL990
2512	CHEMBL1898147
2519	CHEMBL113
2520	CHEMBL6966
2540	CHEMBL1014
2541	CHEMBL1016
2547	CHEMBL3187605
2548	CHEMBL3187928
2550	CHEMBL27686
2551	CHEMBL14
2554	CHEMBL108
2563	CHEMBL1179357
2564	CHEMBL864
2576	CHEMBL1233
2578	CHEMBL513
2583	CHEMBL839
2585	CHEMBL723
2609	CHEMBL1474918
2610	CHEMBL1555813
2646	CHEMBL3302259
2662	CHEMBL118
2663	CHEMBL27810
2666	CHEMBL287590
2678	CHEMBL1000
2684	CHEMBL168815
2708	CHEMBL515
2712	CHEMBL451
2719	CHEMBL76
2720	CHEMBL842
2725	CHEMBL505
2726	CHEMBL71
